segment_id,method,milliseconds
1,wavelet_only,0.096583
1,dae_after_wavelet,0.456833
1,hybrid_wavelet_dae,0.552584
2,wavelet_only,0.093417
2,dae_after_wavelet,0.460875
2,hybrid_wavelet_dae,0.556542
3,wavelet_only,0.098542
3,dae_after_wavelet,0.502917
3,hybrid_wavelet_dae,0.591584
4,wavelet_only,0.118916
4,dae_after_wavelet,0.466208
4,hybrid_wavelet_dae,0.564875
5,wavelet_only,0.100375
5,dae_after_wavelet,0.450375
5,hybrid_wavelet_dae,0.530375
6,wavelet_only,0.0965
6,dae_after_wavelet,0.439541
6,hybrid_wavelet_dae,0.666375
7,wavelet_only,0.113916
7,dae_after_wavelet,0.47725
7,hybrid_wavelet_dae,0.623917
8,wavelet_only,0.110125
8,dae_after_wavelet,0.505792
8,hybrid_wavelet_dae,0.582791
9,wavelet_only,0.097209
9,dae_after_wavelet,0.462417
9,hybrid_wavelet_dae,0.562333
10,wavelet_only,0.113625
10,dae_after_wavelet,0.489875
10,hybrid_wavelet_dae,0.596875
11,wavelet_only,0.10775
11,dae_after_wavelet,0.459417
11,hybrid_wavelet_dae,0.581125
12,wavelet_only,0.092625
12,dae_after_wavelet,0.440208
12,hybrid_wavelet_dae,0.52
13,wavelet_only,0.094
13,dae_after_wavelet,0.441458
13,hybrid_wavelet_dae,0.522125
14,wavelet_only,0.097542
14,dae_after_wavelet,0.420583
14,hybrid_wavelet_dae,0.498917
15,wavelet_only,0.087791
15,dae_after_wavelet,0.423333
15,hybrid_wavelet_dae,0.500083
16,wavelet_only,0.083333
16,dae_after_wavelet,0.427875
16,hybrid_wavelet_dae,0.504084
17,wavelet_only,0.081291
17,dae_after_wavelet,0.406875
17,hybrid_wavelet_dae,0.527834
18,wavelet_only,0.096375
18,dae_after_wavelet,0.704666
18,hybrid_wavelet_dae,0.68475
19,wavelet_only,0.094667
19,dae_after_wavelet,0.437459
19,hybrid_wavelet_dae,0.537583
20,wavelet_only,0.113584
20,dae_after_wavelet,0.452625
20,hybrid_wavelet_dae,0.483708
