Channel,SNR_Raw,SNR_DWT,SNR_Hybrid,Delta_vs_Raw,Delta_vs_DWT
Fp1,-2.660,-4.789,-1.695,0.964,3.094
Fp2,-1.989,-5.009,-1.910,0.079,3.099
F7,-0.302,-4.109,-1.023,-0.721,3.086
F3,0.497,-3.651,-0.557,-1.054,3.094
Fz,1.153,-3.731,-0.639,-1.793,3.092
F4,0.488,-3.896,-0.809,-1.297,3.087
F8,-0.361,-4.245,-1.146,-0.785,3.099
T3,5.472,-0.764,2.317,-3.156,3.080
C3,8.136,-1.489,1.604,-6.533,3.093
Cz,9.451,-2.246,0.851,-8.600,3.097
C4,7.963,-0.126,2.956,-5.006,3.082
T4,5.437,-2.879,0.207,-5.230,3.086
T5,14.170,-1.308,1.780,-12.390,3.088
P3,17.926,-0.838,2.241,-15.685,3.079
Pz,19.505,-0.691,2.404,-17.101,3.094
P4,17.417,-1.224,1.876,-15.540,3.101
T6,13.860,-2.049,1.043,-12.817,3.092
O1,23.537,-0.072,3.026,-20.511,3.098
O2,23.490,0.386,3.459,-20.030,3.073

Test,W,p-value,Cohen's d
Hybrid vs Raw,5.0,0.0003,-1.222
Hybrid vs DWT,0.0,0.0001,1.783
